ich,i, LangMaster de-en
warten,wait, LangMaster de-en
brauchen,to need, LangMaster de-en
lhre,your, LangMaster de-en
fragen,ask, LangMaster de-en
arbeit,job, LangMaster de-en
wann,when, LangMaster de-en
heißt,called, LangMaster de-en
sprechen,speak, LangMaster de-en
siehst,see, LangMaster de-en
jeder,everyone, LangMaster de-en
kam,came, LangMaster de-en
sofort,immediately, LangMaster de-en
getan,did, LangMaster de-en
fertig,done, LangMaster de-en
kennen,know, LangMaster de-en
einmal,once, LangMaster de-en
sohn,son, LangMaster de-en
halten,keep, LangMaster de-en
dabei,included, LangMaster de-en
hatten,had, LangMaster de-en
männer,men, LangMaster de-en
kind,child, LangMaster de-en
jahren,years, LangMaster de-en
beim,at the, LangMaster de-en
seinen,his, LangMaster de-en
mag,like, LangMaster de-en
komme,come, LangMaster de-en
allein,alone, LangMaster de-en
bevor,before, LangMaster de-en
bruder,brothers, LangMaster de-en
musik,music, LangMaster de-en
wahr,true, LangMaster de-en
konnte,could, LangMaster de-en
lieber,rather, LangMaster de-en
uhr,clock, LangMaster de-en
kopf,head, LangMaster de-en
sache,Thing, LangMaster de-en
gern,gladly, LangMaster de-en
denken,think, LangMaster de-en
brauche,need, LangMaster de-en
ende,end, LangMaster de-en
später,later, LangMaster de-en
gehe,go, LangMaster de-en
vergessen,forget, LangMaster de-en
runter,down, LangMaster de-en
fahren,travel, LangMaster de-en
sieh,see, LangMaster de-en
warst,were, LangMaster de-en
stadt,city, LangMaster de-en
namen,names, LangMaster de-en
problem, problem (same as english), LangMaster de-en
sehe,see, LangMaster de-en
augen,eyes, LangMaster de-en
gab,gave, LangMaster de-en
dank,thanks to, LangMaster de-en
sage,legend, LangMaster de-en
würden,would, LangMaster de-en
eins,one, LangMaster de-en
daran,to it, LangMaster de-en
dazu,to, LangMaster de-en
egal,no matter, LangMaster de-en
frage,question, LangMaster de-en
weit,far, LangMaster de-en
familie,family, LangMaster de-en
sterben,die, LangMaster de-en
könnten,could, LangMaster de-en
jungs,guys, LangMaster de-en
jeden,every, LangMaster de-en
minuten,minutes, LangMaster de-en
verstehe,understand, LangMaster de-en
deiner,yours, LangMaster de-en
hilfe,help, LangMaster de-en
beide,both, LangMaster de-en
bald,soon, LangMaster de-en
all,Alles, LangMaster de-en
deinem,your, LangMaster de-en
nimm,take, LangMaster de-en
kleine,small, LangMaster de-en
baby,infant, LangMaster de-en
glück,happiness, LangMaster de-en
freunde,friends, LangMaster de-en
wusste,knew, LangMaster de-en
verrückt,crazy, LangMaster de-en
ruhig,quiet, LangMaster de-en
land,country, LangMaster de-en
darüber,about that, LangMaster de-en
gefunden,found, LangMaster de-en
tür,door, LangMaster de-en
mache,make, LangMaster de-en
seiner,his, LangMaster de-en
wasser,water, LangMaster de-en
auto,automobile, LangMaster de-en
sah,saw, LangMaster de-en
dies,this, LangMaster de-en
eigentlich,actually, LangMaster de-en
eure,your, LangMaster de-en
ruhe,Quiet, LangMaster de-en
stehen,stand, LangMaster de-en
hand, Hand (Bodypart), LangMaster de-en
ihrer,of their, LangMaster de-en
frauen,women, LangMaster de-en
meinst,mean, LangMaster de-en
töten,kill, LangMaster de-en
fall,case, LangMaster de-en
ging,went, LangMaster de-en
polizei,police, LangMaster de-en
vorbei,past, LangMaster de-en
krieg,war, LangMaster de-en
je,ever, LangMaster de-en
darauf,thereon, LangMaster de-en
vielen,many, LangMaster de-en
letzte,last, LangMaster de-en
lang,long, LangMaster de-en
bisschen,little, LangMaster de-en
dran,your turn, LangMaster de-en
hoch,high, LangMaster de-en
kenne,know, LangMaster de-en
fast,nearly, LangMaster de-en
ganzen,entire, LangMaster de-en
schau,look, LangMaster de-en
sogar,even, LangMaster de-en
spielen,to play, LangMaster de-en
wurden,became, LangMaster de-en
hinter,Behind, LangMaster de-en
teufel,Devil, LangMaster de-en
dinge,things, LangMaster de-en
keiner,none, LangMaster de-en
mama,mummy, LangMaster de-en
spät,late, LangMaster de-en
bekommen,receive, LangMaster de-en
oben,above, LangMaster de-en
name,Surname, LangMaster de-en
hört,hears, LangMaster de-en
hätten,would have, LangMaster de-en
bereit,ready, LangMaster de-en
drin,inside, LangMaster de-en
neue,new, LangMaster de-en
kommst,come, LangMaster de-en
woher,where, LangMaster de-en
ihrem,her, LangMaster de-en
wagen,dare, LangMaster de-en
arbeiten,work, LangMaster de-en
verstehen,to understand, LangMaster de-en
jahr,year, LangMaster de-en
tod,death, LangMaster de-en
etwa,approximately, LangMaster de-en
echt,real, LangMaster de-en
seinem,his, LangMaster de-en
geschichte,story, LangMaster de-en
bringt,brings, LangMaster de-en
braucht,needs, LangMaster de-en
treffen,meet, LangMaster de-en
toll,Great, LangMaster de-en
gerne,gladly, LangMaster de-en
draußen,outdoors, LangMaster de-en
fünf,five, LangMaster de-en
lhnen,yours, LangMaster de-en
zimmer,room, LangMaster de-en
job,job (same as english), LangMaster de-en
nett,kind, LangMaster de-en
weiss,White, LangMaster de-en
the,the (same as english), LangMaster de-en
spiel,game, LangMaster de-en
verstanden,Understood, LangMaster de-en
miss,miss (same as english), LangMaster de-en
große,size, LangMaster de-en
anders,different, LangMaster de-en
sorgen,care for, LangMaster de-en
welche,Which, LangMaster de-en
einzige,only one, LangMaster de-en
Art, manner (of doing things) / type of something, LangMaster de-en
liegt,lies, LangMaster de-en
verloren,lost, LangMaster de-en
ahnung,idea, LangMaster de-en
vier,four, LangMaster de-en
alter,age, LangMaster de-en
gekommen,came, LangMaster de-en
jemanden,someone, LangMaster de-en
gehst,go, LangMaster de-en
woche,week, LangMaster de-en
kerl,Guy, LangMaster de-en
hi,Hi, LangMaster de-en
john,John, LangMaster de-en
gestern,yesterday, LangMaster de-en
wenig,little, LangMaster de-en
bestimmt,certainly, LangMaster de-en
kurz,short, LangMaster de-en
überhaupt,at all, LangMaster de-en
finde,find, LangMaster de-en
darum,therefore, LangMaster de-en
tage,days, LangMaster de-en
erste,first, LangMaster de-en
schwester,sister, LangMaster de-en
schwer,heavy, LangMaster de-en
suchen,Looking for, LangMaster de-en
bleibt,remain, LangMaster de-en
tochter,daughter, LangMaster de-en
typ,Type, LangMaster de-en
guter,goods, LangMaster de-en
gewesen,been, LangMaster de-en
grund,reason, LangMaster de-en
zeigen,demonstrate, LangMaster de-en
film,Movie, LangMaster de-en
schlecht,bad, LangMaster de-en
schatz,sweetheart, LangMaster de-en
deshalb,for this reason, LangMaster de-en
holen,to fetch, LangMaster de-en
hoffe,hope, LangMaster de-en
tu,do, LangMaster de-en
sagst,say, LangMaster de-en
bett,bed, LangMaster de-en
muß,got to, LangMaster de-en
seite,page, LangMaster de-en
gefällt,pleases, LangMaster de-en
eben,just, LangMaster de-en
lasst,leaves, LangMaster de-en
gefallen,please, LangMaster de-en
stunden,hours, LangMaster de-en
herz,heart, LangMaster de-en
wohin,where, LangMaster de-en
trinken,to drink, LangMaster de-en
letzten,last, LangMaster de-en
mensch,person, LangMaster de-en
ersten,first, LangMaster de-en
unten,below, LangMaster de-en
gesicht,face, LangMaster de-en
versuchen,try, LangMaster de-en
wort,word, LangMaster de-en
denen,those, LangMaster de-en
verlassen,leaving, LangMaster de-en
endlich,at last, LangMaster de-en
denkst,think, LangMaster de-en
solltest,should, LangMaster de-en
schlafen,sleep, LangMaster de-en
ziemlich,quite, LangMaster de-en
jack,Jack, LangMaster de-en
dollar,dollar, LangMaster de-en
arsch,ass, LangMaster de-en
manchmal,sometimes, LangMaster de-en
fest,fixed, LangMaster de-en
wiedersehen,see you again, LangMaster de-en
beste,best, LangMaster de-en
kleinen,small, LangMaster de-en
kriegen,get, LangMaster de-en
läuft,runs, LangMaster de-en
wahrheit,truth, LangMaster de-en
zwischen,between, LangMaster de-en
niemals,No way, LangMaster de-en
bring, to bring (bringen), LangMaster de-en
unserer,our, LangMaster de-en
nehme,take, LangMaster de-en
allen,all, LangMaster de-en
während,while, LangMaster de-en
glaubst,believe, LangMaster de-en
ding,thing, LangMaster de-en
idee,idea, LangMaster de-en
wollten,wanted to, LangMaster de-en
lässt,leaves, LangMaster de-en
musste,had to, LangMaster de-en
sachen,Things, LangMaster de-en
ah,Ah, LangMaster de-en
bleib,stay, LangMaster de-en
kleiner,smaller, LangMaster de-en
euer,your, LangMaster de-en
nummer,number, LangMaster de-en
sondern,but, LangMaster de-en
frei,free, LangMaster de-en
oft,often, LangMaster de-en
entschuldigung,Excuse me, LangMaster de-en
wen,whom, LangMaster de-en
ernst,serious, LangMaster de-en
alte,old, LangMaster de-en
schule,school, LangMaster de-en
ort,location, LangMaster de-en
erzählt,told, LangMaster de-en
anderes,other, LangMaster de-en
new,new (same as english: obsolete spelling), LangMaster de-en
alt,old, LangMaster de-en
chance, Chance (same as english), LangMaster de-en
einige,some, LangMaster de-en
bloß,just, LangMaster de-en
entschuldigen,to apologize, LangMaster de-en
setzen,set, LangMaster de-en
bedeutet,means, LangMaster de-en
erzählen,tell, LangMaster de-en
feuer,Fire, LangMaster de-en
pass,passport, LangMaster de-en
würdest,would, LangMaster de-en
schuld,blame, LangMaster de-en
getötet,killed, LangMaster de-en
jungen,boys, LangMaster de-en
drauf,on it, LangMaster de-en
platz,place, LangMaster de-en
wären,would be, LangMaster de-en
tust,do, LangMaster de-en
papa,father, LangMaster de-en
spaß,fun, LangMaster de-en
versucht,tries, LangMaster de-en
wichtig,important, LangMaster de-en
besten,best, LangMaster de-en
sorge,worries, LangMaster de-en
kennst,know, LangMaster de-en
hund,dog, LangMaster de-en
blut,blood, LangMaster de-en
hierher,here, LangMaster de-en
reicht,enough, LangMaster de-en
alten,old, LangMaster de-en
wär,would be, LangMaster de-en
glücklich,happy, LangMaster de-en
brauchst,need, LangMaster de-en
hände,hands, LangMaster de-en
unseren,our, LangMaster de-en
hättest,would have, LangMaster de-en
kaum,barely, LangMaster de-en
rede,speech, LangMaster de-en
zuerst,first, LangMaster de-en
stellen,place, LangMaster de-en
beiden,both, LangMaster de-en
falls,if, LangMaster de-en
früh,early, LangMaster de-en
wartet,waiting, LangMaster de-en
neuen,new, LangMaster de-en
sechs,six, LangMaster de-en
jede,every, LangMaster de-en
freundin,girlfriend, LangMaster de-en
lieben,love, LangMaster de-en
teil,part, LangMaster de-en
stunde,hour, LangMaster de-en
langsam,slow, LangMaster de-en
scheint,appears, LangMaster de-en
früher,previously, LangMaster de-en
großen,huge, LangMaster de-en
waffe,weapon, LangMaster de-en
telefon,phone, LangMaster de-en
himmel,sky, LangMaster de-en
lernen,to learn, LangMaster de-en
äh,Ah, LangMaster de-en
zehn,ten, LangMaster de-en
gedacht,thought, LangMaster de-en
willkommen,welcome, LangMaster de-en
frank, (to be frank with someone: almost exclusively used in frank und frei), LangMaster de-en
luft,air, LangMaster de-en
licht,light, LangMaster de-en
hol,get, LangMaster de-en
seht,look, LangMaster de-en
menge,lot, LangMaster de-en
voll,fully, LangMaster de-en
überall,all over, LangMaster de-en
tat,did, LangMaster de-en
erde,Earth, LangMaster de-en
gebe,give, LangMaster de-en
ruf,call, LangMaster de-en
möglich,possible, LangMaster de-en
spricht,speaks, LangMaster de-en
könig,king, LangMaster de-en
eltern,parents, LangMaster de-en
außer,except, LangMaster de-en
nächsten,next, LangMaster de-en
ziehen,draw, LangMaster de-en
wahrscheinlich,probably, LangMaster de-en
wollt,want, LangMaster de-en
dürfen,to be allowed to, LangMaster de-en
nennen,to name, LangMaster de-en
falsch,not correct, LangMaster de-en
ehrlich,honest, LangMaster de-en
irgendwas,anything, LangMaster de-en
nächste,next, LangMaster de-en
wochen,weeks, LangMaster de-en
meines,mine, LangMaster de-en
herren,Men's, LangMaster de-en
straße,Street, LangMaster de-en
hm,Hm, LangMaster de-en
heiraten,marry, LangMaster de-en
stück,piece, LangMaster de-en
doktor,doctor, LangMaster de-en
neues,new, LangMaster de-en
gegeben,given, LangMaster de-en
kaffee,coffee, LangMaster de-en
möchten,want, LangMaster de-en
verstehst,understand, LangMaster de-en
krank,ill, LangMaster de-en
danach,thereafter, LangMaster de-en
geworden,become, LangMaster de-en
arzt,doctor, LangMaster de-en
schaffen,create, LangMaster de-en
stelle,Job, LangMaster de-en
groß,great, LangMaster de-en
wem,whom, LangMaster de-en
hölle,hell, LangMaster de-en
völlig,fully, LangMaster de-en
weh,sore, LangMaster de-en
fehler,failure, LangMaster de-en
drüben,over there, LangMaster de-en
büro,office, LangMaster de-en
Kapitän, captain, LangMaster de-en
rufen,call, LangMaster de-en
irgendwie,somehow, LangMaster de-en
eigenen,own, LangMaster de-en
probleme,problems, LangMaster de-en
allem,everything, LangMaster de-en
mr,mr/hr/mister/herr, LangMaster de-en
wert,value, LangMaster de-en
tue,do, LangMaster de-en
buch,a book, LangMaster de-en
lebt,lives, LangMaster de-en
scheiß,shit, LangMaster de-en
kaufen,to buy, LangMaster de-en
erinnern,recall, LangMaster de-en
direkt,direct, LangMaster de-en
laufen,to run, LangMaster de-en
george,George, LangMaster de-en
trotzdem,despite this, LangMaster de-en
schreiben,to write, LangMaster de-en
still,quiet, LangMaster de-en
kleines,little one, LangMaster de-en
körper,body, LangMaster de-en
retten,save, LangMaster de-en
fand,found, LangMaster de-en
unserem,our, LangMaster de-en
solche,such, LangMaster de-en
denkt,thinks, LangMaster de-en
könnt,can, LangMaster de-en
alleine,alone, LangMaster de-en
sitzen,sit, LangMaster de-en
höre,hear, LangMaster de-en
millionen,millions, LangMaster de-en
tagen,meet, LangMaster de-en
york,York, LangMaster de-en
suche,seek, LangMaster de-en
vergiss,forget, LangMaster de-en
gutes,good, LangMaster de-en
leider,Unfortunately, LangMaster de-en
sagten,said, LangMaster de-en
typen,types, LangMaster de-en
schlüssel,key, LangMaster de-en
tragen,wear, LangMaster de-en
mund,mouth, LangMaster de-en
worden,been, LangMaster de-en
hält,holds, LangMaster de-en
zwar,though, LangMaster de-en
bereits,already, LangMaster de-en
leicht,easy, LangMaster de-en
spielt,plays, LangMaster de-en
schiff,ship, LangMaster de-en
hörst,hear, LangMaster de-en
lhren,yours, LangMaster de-en
onkel,uncle, LangMaster de-en
glaub,believe, LangMaster de-en
verlieren,lose, LangMaster de-en
großer,greater, LangMaster de-en
klingt,sounds, LangMaster de-en
irgendwo,somewhere, LangMaster de-en
zukunft,future, LangMaster de-en
kennt,knows, LangMaster de-en
plan,plan, LangMaster de-en
schöne,lovely, LangMaster de-en
verschwinden,disappear, LangMaster de-en
interessiert,Interested, LangMaster de-en
waffen,weapons, LangMaster de-en
kämpfen,battle, LangMaster de-en
bringe,bring, LangMaster de-en
hinten,rear, LangMaster de-en
setz,set, LangMaster de-en
kumpel,Dude, LangMaster de-en
wolltest,wanted, LangMaster de-en
boden,floor, LangMaster de-en
General,general, LangMaster de-en
zeig,show, LangMaster de-en
böse,angry, LangMaster de-en
halte,hold, LangMaster de-en
gegangen,went, LangMaster de-en
richtige,right one, LangMaster de-en
liebling,Darling, LangMaster de-en
acht,eight, LangMaster de-en
froh,joyful, LangMaster de-en
machte,made, LangMaster de-en
jedes,each, LangMaster de-en
hart,hard, LangMaster de-en
vorsichtig,carefully, LangMaster de-en
versuch,attempt, LangMaster de-en
getroffen,met, LangMaster de-en
mögen,to like, LangMaster de-en
zeug,things, LangMaster de-en
damals,back then, LangMaster de-en
stimme,voice, LangMaster de-en
gefühl,feeling, LangMaster de-en
leuten,people, LangMaster de-en
lesen,read, LangMaster de-en
mist,damn, LangMaster de-en
zug,train, LangMaster de-en
hattest,had, LangMaster de-en
verdammte,damn it, LangMaster de-en
geschäft,shop, LangMaster de-en
arschloch,asshole, LangMaster de-en
Rest,rest, LangMaster de-en
de,the, LangMaster de-en
aufhören,stop, LangMaster de-en
könntest,could, LangMaster de-en
klasse,Great, LangMaster de-en
lasse,let, LangMaster de-en
boss,boss, LangMaster de-en
erklären,explain, LangMaster de-en
fliegen,to fly, LangMaster de-en
laden,load, LangMaster de-en
stolz,proud, LangMaster de-en
stark,strong, LangMaster de-en
hasse,hate, LangMaster de-en
wohnung,apartment, LangMaster de-en
gebracht,brought, LangMaster de-en
fort,away, LangMaster de-en
genauso,just like that, LangMaster de-en
mai,May, LangMaster de-en
entschuldige,Excuse me, LangMaster de-en
besonders,particularly, LangMaster de-en
seien,be, LangMaster de-en
tages,day, LangMaster de-en
weniger,fewer, LangMaster de-en
zieh,pull, LangMaster de-en
ärger,trouble, LangMaster de-en
fühle,feel, LangMaster de-en
schauen,look, LangMaster de-en
idiot,idiot, LangMaster de-en
o,O, LangMaster de-en
schneller,more quickly, LangMaster de-en
denk,think, LangMaster de-en
geschafft,made, LangMaster de-en
verzeihung,forgiveness, LangMaster de-en
tja,well, LangMaster de-en
schicken,send, LangMaster de-en
erwartet,expected, LangMaster de-en
nachricht,news, LangMaster de-en
findet,finds, LangMaster de-en
funktioniert,functions, LangMaster de-en
werd,will, LangMaster de-en
stand,was standing, LangMaster de-en
traum,dream, LangMaster de-en
sollst,should, LangMaster de-en
fallen,fall, LangMaster de-en
wovon,About what, LangMaster de-en
gefängnis,jail, LangMaster de-en
aufs,onto, LangMaster de-en
hotel,hotel, LangMaster de-en
krankenhaus,hospital, LangMaster de-en
umbringen,kill, LangMaster de-en
fällt,falls, LangMaster de-en
redest,talk, LangMaster de-en
weisst,know, LangMaster de-en
gottes,god, LangMaster de-en
total,total, LangMaster de-en
fenster,window, LangMaster de-en
lebens,life, LangMaster de-en
glaubt,believes, LangMaster de-en
vorstellen,introduce, LangMaster de-en
and,other, LangMaster de-en
sinn,sense, LangMaster de-en
ändern,change, LangMaster de-en
versuche,try, LangMaster de-en
heraus,out, LangMaster de-en
heißen,mean, LangMaster de-en
tanzen,to dance, LangMaster de-en
monate,months, LangMaster de-en
lachen,laugh, LangMaster de-en
kampf,struggle, LangMaster de-en
nachdem,after this, LangMaster de-en
arm,poor, LangMaster de-en
wenigstens,at least, LangMaster de-en
geschehen,happen, LangMaster de-en
hörte,heard, LangMaster de-en
kamen,came, LangMaster de-en
passt,fits, LangMaster de-en
liebt,loves, LangMaster de-en
folgen,follow, LangMaster de-en
eher,rather, LangMaster de-en
gefragt,asked, LangMaster de-en
dumm,stupid, LangMaster de-en
deswegen,because of this, LangMaster de-en
solange,so long, LangMaster de-en
lustig,fun, LangMaster de-en
starb,died, LangMaster de-en
unmöglich,not possible, LangMaster de-en
bild,image, LangMaster de-en
boot,boat, LangMaster de-en
genommen,taken, LangMaster de-en
dame,lady, LangMaster de-en
führen,to lead, LangMaster de-en
unglaublich,incredible, LangMaster de-en
vertrauen,to trust, LangMaster de-en
verletzt,hurt, LangMaster de-en
passieren,happen, LangMaster de-en
cool,cool, LangMaster de-en
meisten,most, LangMaster de-en
vorher,before, LangMaster de-en
plötzlich,suddenly, LangMaster de-en
angerufen,called, LangMaster de-en
bewegung,Move, LangMaster de-en
kümmern,To take care of, LangMaster de-en
rüber,over, LangMaster de-en
komisch,funny, LangMaster de-en
paris,Paris, LangMaster de-en
