stor,	big, LangMaster sv-en
hög,	high, LangMaster sv-en
sådan,	such, LangMaster sv-en
följ,	follow, LangMaster sv-en
handling,	act, LangMaster sv-en
varför,	why, LangMaster sv-en
be,	ask, LangMaster sv-en
män,	men, LangMaster sv-en
förändring,	change, LangMaster sv-en
gick,	went, LangMaster sv-en
ljus,	light, LangMaster sv-en
slag,	kind, LangMaster sv-en
off,	off, LangMaster sv-en
behöver,	need, LangMaster sv-en
hus,	house, LangMaster sv-en
bilden,	picture, LangMaster sv-en
försök,	try, LangMaster sv-en
oss,	us, LangMaster sv-en
igen,	again, LangMaster sv-en
djur,	animal, LangMaster sv-en
punkt,	point, LangMaster sv-en
mor,	mother, LangMaster sv-en
världen,	world, LangMaster sv-en
nära,	near, LangMaster sv-en
bygga,	build, LangMaster sv-en
själv,	self, LangMaster sv-en
jord,	earth, LangMaster sv-en
far,	father, LangMaster sv-en
någon,	any, LangMaster sv-en
ny,	new, LangMaster sv-en
arbete,	work, LangMaster sv-en
delen,	part, LangMaster sv-en
ta,	take, LangMaster sv-en
få,	get, LangMaster sv-en
plats,	place, LangMaster sv-en
gjort,	made, LangMaster sv-en
lever,	live, LangMaster sv-en
där,	where, LangMaster sv-en
efter,	after, LangMaster sv-en
tillbaka,	back, LangMaster sv-en
liten,	little, LangMaster sv-en
endast,	only, LangMaster sv-en
rund,	round, LangMaster sv-en
människa,	man, LangMaster sv-en
år,	year, LangMaster sv-en
kom,	came, LangMaster sv-en
visar,	show, LangMaster sv-en
varje,	every, LangMaster sv-en
bra,	good, LangMaster sv-en
mig,	me, LangMaster sv-en
ge,	give, LangMaster sv-en
vår,	our, LangMaster sv-en
enligt,	under, LangMaster sv-en
namn,	name, LangMaster sv-en
mycket,	very, LangMaster sv-en
genom,	through, LangMaster sv-en
bara,	just, LangMaster sv-en
formulär,	form, LangMaster sv-en
meningen,	sentence, LangMaster sv-en
bra,	great, LangMaster sv-en
tro,	think, LangMaster sv-en
säga,	say, LangMaster sv-en
hjälpa,	help, LangMaster sv-en
låg,	low, LangMaster sv-en
linje,	line, LangMaster sv-en
skiljer,	differ, LangMaster sv-en
tur,	turn, LangMaster sv-en
orsak,	cause, LangMaster sv-en
mycket,	much, LangMaster sv-en
betyda,	mean, LangMaster sv-en
före,	before, LangMaster sv-en
drag,	move, LangMaster sv-en
höger,	right, LangMaster sv-en
pojke,	boy, LangMaster sv-en
gammal,	old, LangMaster sv-en
alltför,	too, LangMaster sv-en
samma,	same, LangMaster sv-en
hon,	she, LangMaster sv-en
alla,	all, LangMaster sv-en
där,	there, LangMaster sv-en
när,	when, LangMaster sv-en
upp,	up, LangMaster sv-en
använda,	use, LangMaster sv-en
din,	your, LangMaster sv-en
sätt,	way, LangMaster sv-en
ca,	about, LangMaster sv-en
många,	many, LangMaster sv-en
cykelverkstad,	bicycle shop, LangMaster sv-en
dem,	them, LangMaster sv-en
skriva,	write, LangMaster sv-en
skulle,	would, LangMaster sv-en
liknande,	like, LangMaster sv-en
så,	so, LangMaster sv-en
dessa,	these, LangMaster sv-en
hennes,	her, LangMaster sv-en
lång,	long, LangMaster sv-en
göra,	make, LangMaster sv-en
sak,	thing, LangMaster sv-en
se,	see, LangMaster sv-en
honom,	him, LangMaster sv-en
två,	two, LangMaster sv-en
har,	has, LangMaster sv-en
ser,	look, LangMaster sv-en
mer,	more, LangMaster sv-en
dag,	day, LangMaster sv-en
kunde,	could, LangMaster sv-en
gå,	go, LangMaster sv-en
komma,	come, LangMaster sv-en
gjorde,	did, LangMaster sv-en
antal,	number, LangMaster sv-en
sund,	sound, LangMaster sv-en
nej,	no, LangMaster sv-en
mest,	most, LangMaster sv-en
människor,	people, LangMaster sv-en
min,	my, LangMaster sv-en
över,	over, LangMaster sv-en
vet,	know, LangMaster sv-en
vatten,	water, LangMaster sv-en
än,	than, LangMaster sv-en
samtal,	call, LangMaster sv-en
först,	first, LangMaster sv-en
som,	who, LangMaster sv-en
får,	may, LangMaster sv-en
ner,	down, LangMaster sv-en
sida,	side, LangMaster sv-en
varit,	been, LangMaster sv-en
nu,	now, LangMaster sv-en
hitta,	find, LangMaster sv-en
huvud,	head, LangMaster sv-en
stå,	stand, LangMaster sv-en
egen,	own, LangMaster sv-en
sida,	page, LangMaster sv-en
bör,	should, LangMaster sv-en
land,	country, LangMaster sv-en
funnen,	found, LangMaster sv-en
svar,	answer, LangMaster sv-en
skola,	school, LangMaster sv-en
växa,	grow, LangMaster sv-en
studie,	study, LangMaster sv-en
fortfarande,	still, LangMaster sv-en
lära,	learn, LangMaster sv-en
växt,	plant, LangMaster sv-en
lock,	cover, LangMaster sv-en
mat,	food, LangMaster sv-en
sol,	sun, LangMaster sv-en
fyra,	four, LangMaster sv-en
mellan,	between, LangMaster sv-en
tillstånd,	state, LangMaster sv-en
hålla,	keep, LangMaster sv-en
öga,	eye, LangMaster sv-en
aldrig,	never, LangMaster sv-en
sista,	last, LangMaster sv-en
låt,	let, LangMaster sv-en
trodde,	thought, LangMaster sv-en
ort,	city, LangMaster sv-en
träd,	tree, LangMaster sv-en
korsa,	cross, LangMaster sv-en
gård,	farm, LangMaster sv-en
hård,	hard, LangMaster sv-en
start,	start, LangMaster sv-en
kanske,	might, LangMaster sv-en
berättelse,	story, LangMaster sv-en
sågen,	saw, LangMaster sv-en
långt,	far, LangMaster sv-en
hav,	sea, LangMaster sv-en
rita,	draw, LangMaster sv-en
vänster,	left, LangMaster sv-en
sen,	late, LangMaster sv-en
köra,	run, LangMaster sv-en
inte,	don’t, LangMaster sv-en
medan,	while, LangMaster sv-en
tryck,	press, LangMaster sv-en
nära,	close, LangMaster sv-en
natt,	night, LangMaster sv-en
verklig,	real, LangMaster sv-en
liv,	life, LangMaster sv-en
några,	few, LangMaster sv-en
norr,	north, LangMaster sv-en
boken,	book, LangMaster sv-en
bära,	carry, LangMaster sv-en
tog,	took, LangMaster sv-en
vetenskap,	science, LangMaster sv-en
äta,	eat, LangMaster sv-en
rum,	room, LangMaster sv-en
vän,	friend, LangMaster sv-en
började,	began, LangMaster sv-en
idé,	idea, LangMaster sv-en
fisk,	fish, LangMaster sv-en
berg,	mountain, LangMaster sv-en
stoppa,	stop, LangMaster sv-en
en, gång	once, LangMaster sv-en
bas,	base, LangMaster sv-en
höra,	hear, LangMaster sv-en
häst,	horse, LangMaster sv-en
snitt,	cut, LangMaster sv-en
säker,	sure, LangMaster sv-en
klocka,	watch, LangMaster sv-en
färg,	color, LangMaster sv-en
ansikte,	face, LangMaster sv-en
trä,	wood, LangMaster sv-en
huvud,	main, LangMaster sv-en
öppen,	open, LangMaster sv-en
tyckas,	seem, LangMaster sv-en
tillsammans,	together, LangMaster sv-en
nästa,	next, LangMaster sv-en
vit,	white, LangMaster sv-en
barn,	children, LangMaster sv-en
börja,	begin, LangMaster sv-en
fick,	got, LangMaster sv-en
gå,	walk, LangMaster sv-en
exempel,	example, LangMaster sv-en
lindra,	ease, LangMaster sv-en
papper,	paper, LangMaster sv-en
grupp,	group, LangMaster sv-en
alltid,	always, LangMaster sv-en
musik,	music, LangMaster sv-en
de, som	those, LangMaster sv-en
båda,	both, LangMaster sv-en
märke,	mark, LangMaster sv-en
ofta,	often, LangMaster sv-en
bokstav,	letter, LangMaster sv-en
tills,	until, LangMaster sv-en
mil,	mile, LangMaster sv-en
flod,	river, LangMaster sv-en
bil,	car, LangMaster sv-en
fot,	feet, LangMaster sv-en
vård,	care, LangMaster sv-en
andra,	second, LangMaster sv-en
tillräckligt,	enough, LangMaster sv-en
vanlig,	plain, LangMaster sv-en
flicka,	girl, LangMaster sv-en
vanligt,	usual, LangMaster sv-en
ung,	young, LangMaster sv-en
klar,	ready, LangMaster sv-en
ovan,	above, LangMaster sv-en
någonsin,	ever, LangMaster sv-en
röd,	red, LangMaster sv-en
lista,	list, LangMaster sv-en
though,	though, LangMaster sv-en
känna,	feel, LangMaster sv-en
diskussion,	talk, LangMaster sv-en
fågel,	bird, LangMaster sv-en
snart,	soon, LangMaster sv-en
kropp,	body, LangMaster sv-en
hund,	dog, LangMaster sv-en
familj,	family, LangMaster sv-en
direkt,	direct, LangMaster sv-en
pose,	pose, LangMaster sv-en
lämna,	leave, LangMaster sv-en
sång,	song, LangMaster sv-en
mäta,	measure, LangMaster sv-en
dörr,	door, LangMaster sv-en
produkt,	product, LangMaster sv-en
svart,	black, LangMaster sv-en
kort,	short, LangMaster sv-en
siffran,	numeral, LangMaster sv-en
klass,	class, LangMaster sv-en
vind,	wind, LangMaster sv-en
fråga,	question, LangMaster sv-en
hända,	happen, LangMaster sv-en
fullständig,	complete, LangMaster sv-en
skepp,	ship, LangMaster sv-en
område,	area, LangMaster sv-en
halv,	half, LangMaster sv-en
vagga,	rock, LangMaster sv-en
för,	order, LangMaster sv-en
eld,	fire, LangMaster sv-en
söder,	south, LangMaster sv-en
problemet,	problem, LangMaster sv-en
stycke,	piece, LangMaster sv-en
sa,	told, LangMaster sv-en
visste,	knew, LangMaster sv-en
passera,	pass, LangMaster sv-en
sedan,	since, LangMaster sv-en
topp,	top, LangMaster sv-en
hela,	whole, LangMaster sv-en
kung,	king, LangMaster sv-en
gata,	street, LangMaster sv-en
tum,	inch, LangMaster sv-en
multiplicera,	multiply, LangMaster sv-en
ingenting,	nothing, LangMaster sv-en
Naturligtvis,	course, LangMaster sv-en
bo,	stay, LangMaster sv-en
hjul,	wheel, LangMaster sv-en
fullständig,	full, LangMaster sv-en
kraft,	force, LangMaster sv-en
blå,	blue, LangMaster sv-en
objektet,	object, LangMaster sv-en
besluta,	decide, LangMaster sv-en
yta,	surface, LangMaster sv-en
djup,	deep, LangMaster sv-en
månen,	moon, LangMaster sv-en
ö,	island, LangMaster sv-en
fot,	foot, LangMaster sv-en
systemet,	system, LangMaster sv-en
upptagen,	busy, LangMaster sv-en
testet,	test, LangMaster sv-en
register,	record, LangMaster sv-en
båt,	boat, LangMaster sv-en
gemensam,	common, LangMaster sv-en
guld,	gold, LangMaster sv-en
möjlig,	possible, LangMaster sv-en
plan,	plane, LangMaster sv-en
stead,	stead, LangMaster sv-en
torka,	dry, LangMaster sv-en
undra,	wonder, LangMaster sv-en
skratt,	laugh, LangMaster sv-en
tusen,	thousand, LangMaster sv-en
sedan,	ago, LangMaster sv-en
ran,	ran, LangMaster sv-en
ta,	check, LangMaster sv-en
spel,	game, LangMaster sv-en
form,	shape, LangMaster sv-en
likställa,	equate, LangMaster sv-en
het,	hot, LangMaster sv-en
miss,	miss, LangMaster sv-en
bringas,	brought, LangMaster sv-en
hetta,	heat, LangMaster sv-en
snö,	snow, LangMaster sv-en
däcket,	tire, LangMaster sv-en
bringa,	bring, LangMaster sv-en
ja,	yes, LangMaster sv-en
avlägsen,	distant, LangMaster sv-en
fylla,	fill, LangMaster sv-en
öst,	east, LangMaster sv-en
måla,	paint, LangMaster sv-en
språk,	language, LangMaster sv-en
bland,	among, LangMaster sv-en
enhet,	unit, LangMaster sv-en
kraft,	power, LangMaster sv-en
stad,	town, LangMaster sv-en
fin,	fine, LangMaster sv-en
viss,	certain, LangMaster sv-en
flyga,	fly, LangMaster sv-en
falla,	fall, LangMaster sv-en
bly,	lead, LangMaster sv-en
rop,	cry, LangMaster sv-en
mörk,	dark, LangMaster sv-en
maskin,	machine, LangMaster sv-en
anteckning,	note, LangMaster sv-en
vänta,	wait, LangMaster sv-en
planen,	plan, LangMaster sv-en
figur,	figure, LangMaster sv-en
stjärna,	star, LangMaster sv-en
låda,	box, LangMaster sv-en
subst,	noun, LangMaster sv-en
fält,	field, LangMaster sv-en
resten,	rest, LangMaster sv-en
korrekt,	correct, LangMaster sv-en
kunna,	able, LangMaster sv-en
pund,	pound, LangMaster sv-en
klar,	done, LangMaster sv-en
skönhet,	beauty, LangMaster sv-en
enhet,	drive, LangMaster sv-en
stod,	stood, LangMaster sv-en
innehålla,	contain, LangMaster sv-en
främre,	front, LangMaster sv-en
undervisa,	teach, LangMaster sv-en
vecka,	week, LangMaster sv-en
slutlig,	final, LangMaster sv-en
gav,	gave, LangMaster sv-en
grön,	green, LangMaster sv-en
ack,	oh, LangMaster sv-en
sammanfattning,	quick, LangMaster sv-en
utveckla,	develop, LangMaster sv-en
ocean,	ocean, LangMaster sv-en
varm,	warm, LangMaster sv-en
fri,	free, LangMaster sv-en
minut,	minute, LangMaster sv-en
stark,	strong, LangMaster sv-en
speciell,	special, LangMaster sv-en
sinne,	mind, LangMaster sv-en
bakom,	behind, LangMaster sv-en
klar,	clear, LangMaster sv-en
svans,	tail, LangMaster sv-en
producera,	produce, LangMaster sv-en
faktum,	fact, LangMaster sv-en
space,	space, LangMaster sv-en
hört,	heard, LangMaster sv-en
bäst,	best, LangMaster sv-en
timme,	hour, LangMaster sv-en
bättre,	better, LangMaster sv-en
SANT,	true, LangMaster sv-en
under,	during, LangMaster sv-en
hundra,	hundred, LangMaster sv-en
fem,	five, LangMaster sv-en
minnas,	remember, LangMaster sv-en
steg,	step, LangMaster sv-en
tidig,	early, LangMaster sv-en
håll,	hold, LangMaster sv-en
väster,	west, LangMaster sv-en
jord,	ground, LangMaster sv-en
intresse,	interest, LangMaster sv-en
nå,	reach, LangMaster sv-en
snabb,	fast, LangMaster sv-en
verb,	verb, LangMaster sv-en
sjunger,	sing, LangMaster sv-en
lyssna,	listen, LangMaster sv-en
sex,	six, LangMaster sv-en
tabell,	table, LangMaster sv-en
resor,	travel, LangMaster sv-en
mindre,	less, LangMaster sv-en
morgon,	morning, LangMaster sv-en
tio,	ten, LangMaster sv-en
enkel,	simple, LangMaster sv-en
flera,	several, LangMaster sv-en
vokal,	vowel, LangMaster sv-en
mot,	toward, LangMaster sv-en
krig,	war, LangMaster sv-en
låg,	lay, LangMaster sv-en
mot,	against, LangMaster sv-en
mönster,	pattern, LangMaster sv-en
långsam,	slow, LangMaster sv-en
centrum,	center, LangMaster sv-en
kärlek,	love, LangMaster sv-en
personen,	person, LangMaster sv-en
pengar,	money, LangMaster sv-en
tjäna,	serve, LangMaster sv-en
synas,	appear, LangMaster sv-en
väg,	road, LangMaster sv-en
karta,	map, LangMaster sv-en
regn,	rain, LangMaster sv-en
regel,	rule, LangMaster sv-en
regera,	govern, LangMaster sv-en
dra,	pull, LangMaster sv-en
förkylning,	cold, LangMaster sv-en
meddelande,	notice, LangMaster sv-en
röst,	voice, LangMaster sv-en
energi,	energy, LangMaster sv-en
jakt,	hunt, LangMaster sv-en
trolig,	probable, LangMaster sv-en
bädd,	bed, LangMaster sv-en
bror,	brother, LangMaster sv-en
ägg,	egg, LangMaster sv-en
ritt,	ride, LangMaster sv-en
cell,	cell, LangMaster sv-en
tro,	believe, LangMaster sv-en
kanske,	perhaps, LangMaster sv-en
plocka,	pick, LangMaster sv-en
plötslig,	sudden, LangMaster sv-en
räkna,	count, LangMaster sv-en
kvadrat,	square, LangMaster sv-en
anledningen,	reason, LangMaster sv-en
längd,	length, LangMaster sv-en
representerar,	represent, LangMaster sv-en
teknikområdet,	art, LangMaster sv-en
ämne,	subject, LangMaster sv-en
region,	region, LangMaster sv-en
storlek,	size, LangMaster sv-en
varierar,	vary, LangMaster sv-en
sedimentera,	settle, LangMaster sv-en
tala,	speak, LangMaster sv-en
vikt,	weight, LangMaster sv-en
allmän,	general, LangMaster sv-en
is,	ice, LangMaster sv-en
materia,	matter, LangMaster sv-en
cirkel,	circle, LangMaster sv-en
par,	pair, LangMaster sv-en
inkluderar,	include, LangMaster sv-en
divide,	divide, LangMaster sv-en
stavelse,	syllable, LangMaster sv-en
kände,	felt, LangMaster sv-en
stors,	grand, LangMaster sv-en
boll,	ball, LangMaster sv-en
ännu,	yet, LangMaster sv-en
våg,	wave, LangMaster sv-en
släpp,	drop, LangMaster sv-en
hjärta,	heart, LangMaster sv-en
jag,	am, LangMaster sv-en
föreliggande,	present, LangMaster sv-en
tung,	heavy, LangMaster sv-en
dans,	dance, LangMaster sv-en
motor,	engine, LangMaster sv-en
ställning,	position, LangMaster sv-en
beväpnar,	arm, LangMaster sv-en
bred,	wide, LangMaster sv-en
segel,	sail, LangMaster sv-en
materialet,	material, LangMaster sv-en
fraktion,	fraction, LangMaster sv-en
skog,	forest, LangMaster sv-en
sitta,	sit, LangMaster sv-en
ras,	race, LangMaster sv-en
fönster,	window, LangMaster sv-en
lagra,	store, LangMaster sv-en
sommar,	summer, LangMaster sv-en
tåg,	train, LangMaster sv-en
sömn,	sleep, LangMaster sv-en
bevisa,	prove, LangMaster sv-en
ensam,	lone, LangMaster sv-en
ben,	leg, LangMaster sv-en
övning,	exercise, LangMaster sv-en
vägg,	wall, LangMaster sv-en
fångst,	catch, LangMaster sv-en
fäste,	mount, LangMaster sv-en
vill,	wish, LangMaster sv-en
himmelsblå,	sky, LangMaster sv-en
ombord,	board, LangMaster sv-en
glädje,	joy, LangMaster sv-en
vinter,	winter, LangMaster sv-en
satellit,	sat, LangMaster sv-en
skriven,	written, LangMaster sv-en
vild,	wild, LangMaster sv-en
instrumentet,	instrument, LangMaster sv-en
hålls,	kept, LangMaster sv-en
glas,	glass, LangMaster sv-en
gräs,	grass, LangMaster sv-en
ko,	cow, LangMaster sv-en
jobb,	job, LangMaster sv-en
kanten,	edge, LangMaster sv-en
tecken,	sign, LangMaster sv-en
besök,	visit, LangMaster sv-en
förbi,	past, LangMaster sv-en
mjuk,	soft, LangMaster sv-en
kul,	fun, LangMaster sv-en
ljust,	bright, LangMaster sv-en
gas,	gas, LangMaster sv-en
väder,	weather, LangMaster sv-en
månad,	month, LangMaster sv-en
miljoner,	million, LangMaster sv-en
bära,	bear, LangMaster sv-en
yta,	finish, LangMaster sv-en
lycklig,	happy, LangMaster sv-en
hoppas,	hope, LangMaster sv-en
blombud,	flower delivery, LangMaster sv-en
kläder,	clothe, LangMaster sv-en
främmande,	strange, LangMaster sv-en
borta,	gone, LangMaster sv-en
handel,	trade, LangMaster sv-en
melodi,	melody, LangMaster sv-en
resa,	trip, LangMaster sv-en
kontor,	office, LangMaster sv-en
motta,	receive, LangMaster sv-en
rad,	row, LangMaster sv-en
mun,	mouth, LangMaster sv-en
exakta,	exact, LangMaster sv-en
symbol,	symbol, LangMaster sv-en
dö,	die, LangMaster sv-en
minst,	least, LangMaster sv-en
besvär,	trouble, LangMaster sv-en
rop,	shout, LangMaster sv-en
utom,	except, LangMaster sv-en
skrev,	wrote, LangMaster sv-en
frö,	seed, LangMaster sv-en
ton,	tone, LangMaster sv-en
ansluta,	join, LangMaster sv-en
föreslår,	suggest, LangMaster sv-en
ren,	clean, LangMaster sv-en
paus,	break, LangMaster sv-en
damen,	lady, LangMaster sv-en
gård,	yard, LangMaster sv-en
stiga,	rise, LangMaster sv-en
dålig,	bad, LangMaster sv-en
smäll,	blow, LangMaster sv-en
olja,	oil, LangMaster sv-en
blod,	blood, LangMaster sv-en
Rör,	touch, LangMaster sv-en
växte,	grew, LangMaster sv-en
cent,	cent, LangMaster sv-en
blanda,	mix, LangMaster sv-en
lag,	team, LangMaster sv-en
tråd,	wire, LangMaster sv-en
kostnad,	cost, LangMaster sv-en
förlorat,	lost, LangMaster sv-en
brun,	brown, LangMaster sv-en
slitage,	wear, LangMaster sv-en
trädgård,	garden, LangMaster sv-en
lika,	equal, LangMaster sv-en
skickat,	sent, LangMaster sv-en
välja,	choose, LangMaster sv-en
föll,	fell, LangMaster sv-en
passa,	fit, LangMaster sv-en
flöde,	flow, LangMaster sv-en
verkligt,	fair, LangMaster sv-en
bank,	bank, LangMaster sv-en
samla,	collect, LangMaster sv-en
spara,	save, LangMaster sv-en
kontroll,	control, LangMaster sv-en
decimala,	decimal, LangMaster sv-en
örat,	ear, LangMaster sv-en
annars,	else, LangMaster sv-en
ganska,	quite, LangMaster sv-en
bröt,	broke, LangMaster sv-en
fall,	case, LangMaster sv-en
mitten,	middle, LangMaster sv-en
döda,	kill, LangMaster sv-en
son,	son, LangMaster sv-en
sjö,	lake, LangMaster sv-en
ögonblick,	moment, LangMaster sv-en
skala,	scale, LangMaster sv-en
högt,	loud, LangMaster sv-en
fjäder,	spring, LangMaster sv-en
observera,	observe, LangMaster sv-en
barn,	child, LangMaster sv-en
rak,	straight, LangMaster sv-en
konsonant,	consonant, LangMaster sv-en
nation,	nation, LangMaster sv-en
ordbok,	dictionary, LangMaster sv-en
mjölk,	milk, LangMaster sv-en
hastighet,	speed, LangMaster sv-en
metod,	method, LangMaster sv-en
organ,	organ, LangMaster sv-en
betala,	pay, LangMaster sv-en
okänd,	age, LangMaster sv-en
sektion,	section, LangMaster sv-en
klänning,	dress, LangMaster sv-en
moln,	cloud, LangMaster sv-en
överraskning,	surprise, LangMaster sv-en
ro,	quiet, LangMaster sv-en
sten,	stone, LangMaster sv-en
liten,	tiny, LangMaster sv-en
klättra,	climb, LangMaster sv-en
sval,	cool, LangMaster sv-en
konstruktion,	design, LangMaster sv-en
dålig,	poor, LangMaster sv-en
mycket,	lot, LangMaster sv-en
experiment,	experiment, LangMaster sv-en
botten,	bottom, LangMaster sv-en
nyckel,	key, LangMaster sv-en
järn,	iron, LangMaster sv-en
singel,	single, LangMaster sv-en
pinne,	stick, LangMaster sv-en
platt,	flat, LangMaster sv-en
tjugo,	twenty, LangMaster sv-en
hud,	skin, LangMaster sv-en
le,	smile, LangMaster sv-en
veck,	crease, LangMaster sv-en
hål,	hole, LangMaster sv-en
hoppa,	jump, LangMaster sv-en
barn,	baby, LangMaster sv-en
åtta,	eight, LangMaster sv-en
by,	village, LangMaster sv-en
möts,	meet, LangMaster sv-en
rot,	root, LangMaster sv-en
köpa,	buy, LangMaster sv-en
höja,	raise, LangMaster sv-en
lösa,	solve, LangMaster sv-en
metall,	metal, LangMaster sv-en
huruvida,	whether, LangMaster sv-en
tryck,	push, LangMaster sv-en
sju,	seven, LangMaster sv-en
punkt,	paragraph, LangMaster sv-en
tredje,	third, LangMaster sv-en
skall,	shall, LangMaster sv-en
vänt,	held, LangMaster sv-en
hår,	hair, LangMaster sv-en
beskriva,	describe, LangMaster sv-en
kock,	cook, LangMaster sv-en
våningen,	floor, LangMaster sv-en
antingen,	either, LangMaster sv-en
resultat,	result, LangMaster sv-en
bränna,	burn, LangMaster sv-en
kulle,	hill, LangMaster sv-en
säker,	safe, LangMaster sv-en
cat,	cat, LangMaster sv-en
talet,	century, LangMaster sv-en
överväga,	consider, LangMaster sv-en
typ,	type, LangMaster sv-en
lag,	law, LangMaster sv-en
bitars,	bit, LangMaster sv-en
kust,	coast, LangMaster sv-en
kopia,	copy, LangMaster sv-en
fras,	phrase, LangMaster sv-en
tyst,	silent, LangMaster sv-en
tall,	tall, LangMaster sv-en
sand,	sand, LangMaster sv-en
jord,	soil, LangMaster sv-en
rulle,	roll, LangMaster sv-en
temperatur,	temperature, LangMaster sv-en
finger,	finger, LangMaster sv-en
industrin,	industry, LangMaster sv-en
värde,	value, LangMaster sv-en
slagsmål,	fight, LangMaster sv-en
lie,	lie, LangMaster sv-en
slå,	beat, LangMaster sv-en
excitera,	excite, LangMaster sv-en
naturlig,	natural, LangMaster sv-en
vy,	view, LangMaster sv-en
känsla,	sense, LangMaster sv-en
kapital,	capital, LangMaster sv-en
kommer, inte	won’t, LangMaster sv-en
stol,	chair, LangMaster sv-en
fara,	danger, LangMaster sv-en
frukt,	fruit, LangMaster sv-en
rik,	rich, LangMaster sv-en
tjock,	thick, LangMaster sv-en
soldat,	soldier, LangMaster sv-en
processen,	process, LangMaster sv-en
fungera,	operate, LangMaster sv-en
praktiken,	practice, LangMaster sv-en
separat,	separate, LangMaster sv-en
svårt,	difficult, LangMaster sv-en
läkare,	doctor, LangMaster sv-en
vänligen,	please, LangMaster sv-en
skydda,	protect, LangMaster sv-en
middagstid,	noon, LangMaster sv-en
gröda,	crop, LangMaster sv-en
moderna,	modern, LangMaster sv-en
elementet,	element, LangMaster sv-en
hit,	hit, LangMaster sv-en
studenten,	student, LangMaster sv-en
hörn,	corner, LangMaster sv-en
parti,	party, LangMaster sv-en
försörjning,	supply, LangMaster sv-en
vars,	whose, LangMaster sv-en
lokalisera,	locate, LangMaster sv-en
ring,	ring, LangMaster sv-en
karaktär,	character, LangMaster sv-en
insekt,	insect, LangMaster sv-en
fångad,	caught, LangMaster sv-en
period,	period, LangMaster sv-en
indikerar,	indicate, LangMaster sv-en
radio,	radio, LangMaster sv-en
talade,	spoke, LangMaster sv-en
atomen,	atom, LangMaster sv-en
humant,	human, LangMaster sv-en
historia,	history, LangMaster sv-en
effekt,	effect, LangMaster sv-en
elektrisk,	electric, LangMaster sv-en
förvänta,	expect, LangMaster sv-en
ben,	bone, LangMaster sv-en
skena,	rail, LangMaster sv-en
föreställa, sig	imagine, LangMaster sv-en
tillhandahålla,	provide, LangMaster sv-en
enas,	agree, LangMaster sv-en
sålunda,	thus, LangMaster sv-en
mild,	gentle, LangMaster sv-en
kvinna,	woman, LangMaster sv-en
kapten,	captain, LangMaster sv-en
gissa,	guess, LangMaster sv-en
nödvändig,	necessary, LangMaster sv-en
skarp,	sharp, LangMaster sv-en
vinge,	wing, LangMaster sv-en
skapa,	create, LangMaster sv-en
granne,	neighbor, LangMaster sv-en
tvätt,	wash, LangMaster sv-en
slagträ,	bat, LangMaster sv-en
snarare,	rather, LangMaster sv-en
publiken,	crowd, LangMaster sv-en
majs,	corn, LangMaster sv-en
jämföra,	compare, LangMaster sv-en
dikt,	poem, LangMaster sv-en
sträng,	string, LangMaster sv-en
klocka,	bell, LangMaster sv-en
bero,	depend, LangMaster sv-en
