jeg,I, LangMaster no-en
seg, oneself (reflexive), LangMaster no-en
la,let, LangMaster no-en
blir,becomes, LangMaster no-en
ser, look / watch / see (verb), LangMaster no-en
takk,thanks, LangMaster no-en
gjøre,do, LangMaster no-en
bli,become, LangMaster no-en
bra,Good, LangMaster no-en
hadde,had, LangMaster no-en
si,say, LangMaster no-en
denne,this, LangMaster no-en
henne,her, LangMaster no-en
litt,a little, LangMaster no-en
inn, in/into/inside, LangMaster no-en
jo,Yes, LangMaster no-en
etter,after, LangMaster no-en
kunne,could, LangMaster no-en
vel, well / probably, LangMaster no-en
to,two, LangMaster no-en
skulle,should have, LangMaster no-en
ved,by, LangMaster no-en
aldri,never, LangMaster no-en
hei,Hi, LangMaster no-en
over,above, LangMaster no-en
god,good, LangMaster no-en
tilbake,back, LangMaster no-en
kanskje,maybe, LangMaster no-en
man,one / to mane, LangMaster no-en
også,also, LangMaster no-en
ble,became, LangMaster no-en
nok,enough, LangMaster no-en
sier,say/tell/state, LangMaster no-en
selv,self, LangMaster no-en
hvad,what, LangMaster no-en
før,for, LangMaster no-en
godt,well, LangMaster no-en
ok,ok, LangMaster no-en
sammen,together, LangMaster no-en
ned,down, LangMaster no-en
mig,me, LangMaster no-en
gi,give, LangMaster no-en
dig,you, LangMaster no-en
hans,his, LangMaster no-en
gang, hall/passage/corridor/time, LangMaster no-en
dag,day, LangMaster no-en
tar,take/have, LangMaster no-en
mer,more, LangMaster no-en
trenger,need, LangMaster no-en
mine,my, LangMaster no-en
vært,been, LangMaster no-en
mitt,my/mine/mittens, LangMaster no-en
mye,a lot, LangMaster no-en
helt,hero, LangMaster no-en
andre,second, LangMaster no-en
sett,set, LangMaster no-en
vær,weather, LangMaster no-en
gjorde,did, LangMaster no-en
hele,all, LangMaster no-en
siden,since, LangMaster no-en
komme,come, LangMaster no-en
enn,than, LangMaster no-en
deres,their, LangMaster no-en
år,year, LangMaster no-en
ditt,your, LangMaster no-en
mann,man, LangMaster no-en
hold,hold/keep/remain, LangMaster no-en
mr,mr/mister/hr/herr, LangMaster no-en
af,of, LangMaster no-en
mener,mean, LangMaster no-en
fikk,got, LangMaster no-en
mot,towards, LangMaster no-en
vent,wait, LangMaster no-en
dine,your, LangMaster no-en
far,father, LangMaster no-en
a,oh, LangMaster no-en
fordi,because, LangMaster no-en
faen,damn (fy faen = damn it), LangMaster no-en
mange,many, LangMaster no-en
snakke,talk, LangMaster no-en
tre,three, LangMaster no-en
hjem,home, LangMaster no-en
ting,thing, LangMaster no-en
gjort,done, LangMaster no-en
liker,likes, LangMaster no-en
sant,right/true, LangMaster no-en
folk,folk/people, LangMaster no-en
greit,okay, LangMaster no-en
lkke,Not, LangMaster no-en
alltid,always, LangMaster no-en
rett,straight, LangMaster no-en
sånn,like that, LangMaster no-en
tid,time, LangMaster no-en
dra,drag, LangMaster no-en
unnskyld,Pardon, LangMaster no-en
morgen,morning, LangMaster no-en
sir,mr/hr/mister/herr, LangMaster no-en
virkelig,really, LangMaster no-en
elsker,love, LangMaster no-en
bedre,better, LangMaster no-en
pa,on, LangMaster no-en
veldig,very, LangMaster no-en
nu,now, LangMaster no-en
tok,took, LangMaster no-en
hit,here, LangMaster no-en
vår,spring, LangMaster no-en
uten,without, LangMaster no-en
mor,tender, LangMaster no-en
står,stands, LangMaster no-en
kveld,evening, LangMaster no-en
død,death, LangMaster no-en
burde,should, LangMaster no-en
snakker,speaks, LangMaster no-en
livet,life, LangMaster no-en
finne,find, LangMaster no-en
gikk,walked, LangMaster no-en
sin,its, LangMaster no-en
gud,God, LangMaster no-en
beklager,sorry, LangMaster no-en
nej,no, LangMaster no-en
trodde,believed, LangMaster no-en
ingenting,nothing, LangMaster no-en
hør,listen, LangMaster no-en
akkurat,just, LangMaster no-en
kjenner,know, LangMaster no-en
første,first, LangMaster no-en
sted,place, LangMaster no-en
disse,these, LangMaster no-en
ute,out, LangMaster no-en
slik,such, LangMaster no-en
samme,same, LangMaster no-en
klar,clear, LangMaster no-en
lenge,long, LangMaster no-en
hjelpe,help, LangMaster no-en
fint,nice, LangMaster no-en
visste,knew, LangMaster no-en
vite,know, LangMaster no-en
forstår,understand, LangMaster no-en
under,under (same as english), LangMaster no-en
noget,something, LangMaster no-en
hjelp,help, LangMaster no-en
skjer,happens, LangMaster no-en
okay,okay (same as english), LangMaster no-en
gir,gear/speed of car, LangMaster no-en
eneste,only, LangMaster no-en
heter,called, LangMaster no-en
holde,to hold/keep, LangMaster no-en
bilen,the car, LangMaster no-en
hallo,hello, LangMaster no-en
vei,road, LangMaster no-en
veien,the road, LangMaster no-en
penger,money, LangMaster no-en
siste,last, LangMaster no-en
pappa,dad, LangMaster no-en
barn,children, LangMaster no-en
rundt,round, LangMaster no-en
én,one, LangMaster no-en
snill,kind, LangMaster no-en
tro,believe, LangMaster no-en
snart,soon, LangMaster no-en
liv,life, LangMaster no-en
høre,hear, LangMaster no-en
hver,each, LangMaster no-en
verden,world, LangMaster no-en
tak,roof, LangMaster no-en
feil,error, LangMaster no-en
hører,listen, LangMaster no-en
redd,afraid, LangMaster no-en
blitt,become, LangMaster no-en
helvete,hell, LangMaster no-en
hos,at, LangMaster no-en
mamma,mom, LangMaster no-en
stor,big, LangMaster no-en
lille,little, LangMaster no-en
dit,there, LangMaster no-en
døde,died, LangMaster no-en
holde,hold, LangMaster no-en
herregud,OMG, LangMaster no-en
prøver,samples, LangMaster no-en
visst,sure, LangMaster no-en
venn,friend, LangMaster no-en
heller,rather, LangMaster no-en
beste,best, LangMaster no-en
husker,remember, LangMaster no-en
borte,gone, LangMaster no-en
hennes,her, LangMaster no-en
sikkert,certainly, LangMaster no-en
først,first, LangMaster no-en
bort,away, LangMaster no-en
drar,leave/drag/pull, LangMaster no-en
like,like, LangMaster no-en
ga,go, LangMaster no-en
fem,five, LangMaster no-en
slutt,end, LangMaster no-en
tiden,the time, LangMaster no-en
gjerne,happily, LangMaster no-en
drepe,kill, LangMaster no-en
fant,find/track, LangMaster no-en
ud,out, LangMaster no-en
store,big, LangMaster no-en
vekk,away, LangMaster no-en
fått,received, LangMaster no-en
inne,in, LangMaster no-en
sikker,sure, LangMaster no-en
annet,other, LangMaster no-en
flere,several, LangMaster no-en
os, mouth of a river, LangMaster no-en
tatt,taken, LangMaster no-en
pengene,the money, LangMaster no-en
glad,happy, LangMaster no-en
hørte,heard, LangMaster no-en
neste,next, LangMaster no-en
mannen,men, LangMaster no-en
menn,men, LangMaster no-en
våre,our, LangMaster no-en
finner,finds, LangMaster no-en
orden,order, LangMaster no-en
navn,name, LangMaster no-en
gamle,old, LangMaster no-en
fortelle,tell, LangMaster no-en
bør,should, LangMaster no-en
dø,die, LangMaster no-en
alene,alone, LangMaster no-en
annen,other, LangMaster no-en
nye,new, LangMaster no-en
ellers,else, LangMaster no-en
venter,waiting, LangMaster no-en
synes,seems, LangMaster no-en
sagt,said, LangMaster no-en
måtte,had to, LangMaster no-en
ny,new, LangMaster no-en
venner,friends, LangMaster no-en
minutter,minutes, LangMaster no-en
liten,small, LangMaster no-en
skjedde,happened, LangMaster no-en
betyr,means, LangMaster no-en
faren,the danger, LangMaster no-en
stille,quiet, LangMaster no-en
gutt,boy, LangMaster no-en
derfor,therefore, LangMaster no-en
have, to have, LangMaster no-en
lenger,longer, LangMaster no-en
lei,sorry, LangMaster no-en
byen,city, LangMaster no-en
hatt,hat, LangMaster no-en
gjennom,through, LangMaster no-en
natt,night, LangMaster no-en
langt,far, LangMaster no-en
klart,clear, LangMaster no-en
kjære,dear, LangMaster no-en
flott,great, LangMaster no-en
ennå,yet, LangMaster no-en
fire,four, LangMaster no-en
klarer,manages, LangMaster no-en
par,couple, LangMaster no-en
politiet,the police, LangMaster no-en
hørt,heard, LangMaster no-en
sitt,one's (sin/ si / sitt / sine), LangMaster no-en
unna,away, LangMaster no-en
herfra,from here, LangMaster no-en
gør,do, LangMaster no-en
slå,hit, LangMaster no-en
dollar,dollars, LangMaster no-en
hjemme,at home, LangMaster no-en
fort,fast, LangMaster no-en
engang,once, LangMaster no-en
gode,good, LangMaster no-en
føler,feel, LangMaster no-en
senere,later, LangMaster no-en
skjønner,understand, LangMaster no-en
dager,days, LangMaster no-en
dagen,the day, LangMaster no-en
meget,much, LangMaster no-en
ett,one, LangMaster no-en
lige,straight, LangMaster no-en
håper,hope, LangMaster no-en
ti,ten, LangMaster no-en
faktisk,actual, LangMaster no-en
galt,wrong, LangMaster no-en
ganger,times, LangMaster no-en
pokker,damn, LangMaster no-en
nesten,nearly, LangMaster no-en
tenkte,thought, LangMaster no-en
hvilken,which, LangMaster no-en
be,ask/pray/beg, LangMaster no-en
huset,the house, LangMaster no-en
jobb,job, LangMaster no-en
klare,manage, LangMaster no-en
bak,behind, LangMaster no-en
snakket,talked, LangMaster no-en
begge,both, LangMaster no-en
vise,show, LangMaster no-en
slags,kind, LangMaster no-en
mens,while, LangMaster no-en
fyr,guy, LangMaster no-en
ferdig,finished, LangMaster no-en
rolig,calm, LangMaster no-en
hodet,the head, LangMaster no-en
tenk,think, LangMaster no-en
lad,charge (battery) / load (gun), LangMaster no-en
op, operation (informal), LangMaster no-en
virker,works, LangMaster no-en
ei,a, LangMaster no-en
jævla,damn, LangMaster no-en
ringer,calling, LangMaster no-en
hverandre,each other, LangMaster no-en
kommet,arrived, LangMaster no-en
skyld,fault, LangMaster no-en
stedet,the place, LangMaster no-en
jobben,the job, LangMaster no-en
sine, one's (sin / si / sitt / sine), LangMaster no-en
bor, drill bit, LangMaster no-en
gammel,old, LangMaster no-en
prøve,try, LangMaster no-en
hyggelig,nice, LangMaster no-en
dårlig,bad, LangMaster no-en
drept,killed, LangMaster no-en
ord,word, LangMaster no-en
vårt,our, LangMaster no-en
helst,preferably, LangMaster no-en
tenker,thinking, LangMaster no-en
kvinne,woman, LangMaster no-en
dr,doctor, LangMaster no-en
allerede,already, LangMaster no-en
begynner,begins, LangMaster no-en
mennesker,human beings, LangMaster no-en
jobber,jobs, LangMaster no-en
ligger,is located, LangMaster no-en
ønsker,wishes, LangMaster no-en
dør,door, LangMaster no-en
kun,only, LangMaster no-en
grunn,superficial, LangMaster no-en
stå,stand, LangMaster no-en
stopp,stop, LangMaster no-en
fortell,tell, LangMaster no-en
gøre,do, LangMaster no-en
kone,wife, LangMaster no-en
øyeblikk,moment, LangMaster no-en
hende,her, LangMaster no-en
slipp,drop, LangMaster no-en
spiller,player, LangMaster no-en
velkommen,welcome, LangMaster no-en
del,share, LangMaster no-en
jente,girl, LangMaster no-en
drepte,killed, LangMaster no-en
tenkt,thought, LangMaster no-en
riktig,correct, LangMaster no-en
spise,eat, LangMaster no-en
vente,wait, LangMaster no-en
seks,six, LangMaster no-en
egen,own, LangMaster no-en
fortsatt,still, LangMaster no-en
glem,forget, LangMaster no-en
ganske,pretty, LangMaster no-en
ses, to look/watch/see, LangMaster no-en
møte,Meeting, LangMaster no-en
åh,oh, LangMaster no-en
slapp, tired, LangMaster no-en
mi, mine, LangMaster no-en
fin,fine, LangMaster no-en
funnet,found, LangMaster no-en
sånt,such, LangMaster no-en
nede,down, LangMaster no-en
gutten,boys, LangMaster no-en
jekk, to jack, LangMaster no-en
nettopp,just, LangMaster no-en
fyren,the guy, LangMaster no-en
stemmer,votes, LangMaster no-en
timer,timer, LangMaster no-en
sønn,son, LangMaster no-en
herr,sir, LangMaster no-en
gutter,boys, LangMaster no-en
spør,traces, LangMaster no-en
selvfølgelig,of course, LangMaster no-en
di, your, LangMaster no-en
mistet,lost, LangMaster no-en
leve, to live / to be alive, LangMaster no-en
oppe,upstairs, LangMaster no-en
spille,play, LangMaster no-en
miss,miss/Ms (as woman), LangMaster no-en
sig, to seep/ooze/move slowly, LangMaster no-en
kaptein,captain, LangMaster no-en
sent,late, LangMaster no-en
new, new, LangMaster no-en
legg, lay, LangMaster no-en
sitter, to sit, LangMaster no-en
tenke,imagine, LangMaster no-en
all,all (same as english), LangMaster no-en
jenta,girl, LangMaster no-en
gått,walked, LangMaster no-en
lett,easy, LangMaster no-en
ring,ring (same as english), LangMaster no-en
familien,the family, LangMaster no-en
pass,passport, LangMaster no-en
lang,long, LangMaster no-en
måte,manner, LangMaster no-en
bil,car, LangMaster no-en
ringe,ring, LangMaster no-en
vanskelig,difficult, LangMaster no-en
ro, peace/tranquility/calm/to row, LangMaster no-en
saken,the case, LangMaster no-en
kjeft,jaw, LangMaster no-en
lever,liver, LangMaster no-en
moren,the mother, LangMaster no-en
videre,further, LangMaster no-en
problemer,problems, LangMaster no-en
viktig,important, LangMaster no-en
ber,pray, LangMaster no-en
mat,food, LangMaster no-en
nytt,new, LangMaster no-en
full, full/drunk, LangMaster no-en
problem,problem (same as english), LangMaster no-en
fortalte,told, LangMaster no-en
tur,trip, LangMaster no-en
fast,solid, LangMaster no-en
treffe,meet, LangMaster no-en
ba, to be, LangMaster no-en
best,best (same as english), LangMaster no-en
stort,large, LangMaster no-en
fred,peace, LangMaster no-en
bruke,use, LangMaster no-en
prøv,try, LangMaster no-en
mellom,between, LangMaster no-en
syns,seems, LangMaster no-en
fram,forward, LangMaster no-en
hus,House, LangMaster no-en
tom,empty, LangMaster no-en
bliver,becomes, LangMaster no-en
fantastisk,fantastic, LangMaster no-en
redde,save, LangMaster no-en
hej,hey, LangMaster no-en
side,page, LangMaster no-en
setter, to place/put/set, LangMaster no-en
dreper,kills, LangMaster no-en
hente,get, LangMaster no-en
dro, to leave/drag, LangMaster no-en
kjører,driving, LangMaster no-en
fri,free, LangMaster no-en
ma, mother, LangMaster no-en
forsiktig,careful, LangMaster no-en
navnet,the name, LangMaster no-en
uansett,regardless, LangMaster no-en
holdt,held, LangMaster no-en
fly, aircraft, LangMaster no-en
satt,sat, LangMaster no-en
utrolig,incredible, LangMaster no-en
resten,the rest, LangMaster no-en
straks,soon, LangMaster no-en
sette,set, LangMaster no-en
gal,crazy, LangMaster no-en
kaller,calls, LangMaster no-en
unge,young, LangMaster no-en
egentlig,actually, LangMaster no-en
tusen,thousand, LangMaster no-en
åpne,to open, LangMaster no-en
imot,against, LangMaster no-en
na,now, LangMaster no-en
mest,most, LangMaster no-en
havde,had, LangMaster no-en
sagde,said, LangMaster no-en
fremdeles,still, LangMaster no-en
hater, hater, LangMaster no-en
tilbage,back, LangMaster no-en
vann,water, LangMaster no-en
kjøre,drive, LangMaster no-en
familie,family, LangMaster no-en
kvinner,women, LangMaster no-en
utenfor,outside, LangMaster no-en
hvert,each, LangMaster no-en
skolen,the school, LangMaster no-en
landet,the country, LangMaster no-en
spørsmål,questions, LangMaster no-en
skjedd,happened, LangMaster no-en
prøvde,tried, LangMaster no-en
gift,married, LangMaster no-en
efter,after, LangMaster no-en
bror,brother, LangMaster no-en
herrer,gentlemen, LangMaster no-en
øynene,the eyes, LangMaster no-en
altså,therefore, LangMaster no-en
skje,happen, LangMaster no-en
driver, to drive (not necessarily on a vehicle), LangMaster no-en
plass,place, LangMaster no-en
nødt,need, LangMaster no-en
mulig,possible, LangMaster no-en
foran,in front of, LangMaster no-en
enda, even (as in EVEN greater), LangMaster no-en
mere,more, LangMaster no-en
løp,run, LangMaster no-en
uke,week, LangMaster no-en
damer,ladies, LangMaster no-en
finnes,exists, LangMaster no-en
gangen,hallway, LangMaster no-en
lar,thigh, LangMaster no-en
kona, wife / housewife, LangMaster no-en
time,hour, LangMaster no-en
dritt,shit, LangMaster no-en
mindre,less, LangMaster no-en
ønske,desire, LangMaster no-en
rommet,the room, LangMaster no-en
vis, wise, LangMaster no-en
lyst,want, LangMaster no-en
snakk,talk, LangMaster no-en
ingen,no/no one/nothing/none, LangMaster no-en
lite,small, LangMaster no-en
lære,learn, LangMaster no-en
bruker,User, LangMaster no-en
spørre,ask, LangMaster no-en
sjanse,chance, LangMaster no-en
vondt,hurt, LangMaster no-en
måske,maybe, LangMaster no-en
ind, in, LangMaster no-en
lidt,a little, LangMaster no-en
an,to guess/sense, LangMaster no-en
lykke,happiness, LangMaster no-en
nogen,someone, LangMaster no-en
aldrig,never, LangMaster no-en
idiot, idiot (same as english), LangMaster no-en
nummer,number, LangMaster no-en
sove,sleep, LangMaster no-en
fins, to be / exist / occur / be found, LangMaster no-en
betale,pay, LangMaster no-en
lov,law, LangMaster no-en
land,country, LangMaster no-en
selvsagt,of course, LangMaster no-en
passer,fits, LangMaster no-en
dum,stupid, LangMaster no-en
siger,says, LangMaster no-en
venstre,left, LangMaster no-en
rom,room, LangMaster no-en
lover,lover / to love, LangMaster no-en
idé,idea, LangMaster no-en
farvel,goodbye, LangMaster no-en
begynte,began, LangMaster no-en
hendene,hands, LangMaster no-en
været,been, LangMaster no-en
ringte,called, LangMaster no-en
svært,very, LangMaster no-en
skai, shell/skin/will/would/shall/should, LangMaster no-en
ventet,waited, LangMaster no-en
huske,remember, LangMaster no-en
kjent,known, LangMaster no-en
høres,heard, LangMaster no-en
lage,make, LangMaster no-en
historie,history, LangMaster no-en
perfekt,perfect, LangMaster no-en
måneder,months, LangMaster no-en
små,small, LangMaster no-en
skrive,write, LangMaster no-en
sådan,such, LangMaster no-en
reise,travel, LangMaster no-en
spiser,eats, LangMaster no-en
gitt,given, LangMaster no-en
mand, man (obsolete spelling), LangMaster no-en
ekte,genuine, LangMaster no-en
mente,thought, LangMaster no-en
husk,remember, LangMaster no-en
laget,made, LangMaster no-en
fortsett,continue, LangMaster no-en
våpen,arms, LangMaster no-en
kjør,drive, LangMaster no-en
kjøpe,purchase, LangMaster no-en
jobbet,worked, LangMaster no-en
slår,hits, LangMaster no-en
svar,answer, LangMaster no-en
herre,master, LangMaster no-en
hent, to fetch/collect/get, LangMaster no-en
aner, to guess/sense, LangMaster no-en
finn, finnish/fin/to find, LangMaster no-en
vores,our, LangMaster no-en
tidlig,early, LangMaster no-en
gifte,marry, LangMaster no-en
synd,sin, LangMaster no-en
igen,again, LangMaster no-en
bryr,cares, LangMaster no-en
stoppe,stop, LangMaster no-en
jer, you, LangMaster no-en
kjærlighet,love, LangMaster no-en
sender, transmitter, LangMaster no-en
skynd,hurry, LangMaster no-en
fortalt,told, LangMaster no-en
masse,a lot, LangMaster no-en
bruk,use, LangMaster no-en
hånd,hand, LangMaster no-en
by,city, LangMaster no-en
blod,blood, LangMaster no-en
kort,card, LangMaster no-en
viser,shows, LangMaster no-en
sannheten,the truth, LangMaster no-en
rart, strangely, LangMaster no-en
kaffe,coffee, LangMaster no-en
morsomt,funny, LangMaster no-en
hjelper,helps, LangMaster no-en
uker,weeks, LangMaster no-en
millioner,millions, LangMaster no-en
middag,dinner, LangMaster no-en
jobbe,work, LangMaster no-en
ung,young, LangMaster no-en
stund,while, LangMaster no-en
vennen,the friend, LangMaster no-en
barna,the children, LangMaster no-en
lager,storage, LangMaster no-en
tv,tv, LangMaster no-en
handler, to act / to trade / to shop, LangMaster no-en
sitte,sit, LangMaster no-en
hardt,hard, LangMaster no-en
undskyld,sorry, LangMaster no-en
stadig,ever, LangMaster no-en
legge,lay, LangMaster no-en
harry, name (noun) / rude person, LangMaster no-en
henter,retrieving, LangMaster no-en
ben, leg / bone, LangMaster no-en
datter,daughter, LangMaster no-en
vakker,beautiful, LangMaster no-en
skyte,shoot, LangMaster no-en
kjente,knew, LangMaster no-en
tide, time / era, LangMaster no-en
live, to live / to be alive, LangMaster no-en
skyt,shoot, LangMaster no-en
tale,speech, LangMaster no-en
valg,choice, LangMaster no-en
foregår,taking place, LangMaster no-en
betaler,Pays, LangMaster no-en
likte,liked, LangMaster no-en
skikkelig,properly, LangMaster no-en
tager,takes, LangMaster no-en
slo, to hit, LangMaster no-en
frem,forward, LangMaster no-en
forstå,understand, LangMaster no-en
døren,the door, LangMaster no-en
jenter,girls, LangMaster no-en
klokka,the clock, LangMaster no-en
høyre,right, LangMaster no-en
rør,tube, LangMaster no-en
begynne,start, LangMaster no-en
elsket,loved, LangMaster no-en
stikker,sticks, LangMaster no-en
sendte,sent, LangMaster no-en
telefonen,the phone, LangMaster no-en
doktor,doctor, LangMaster no-en
lese,read, LangMaster no-en
følge,follow, LangMaster no-en
general, general, LangMaster no-en
drink, to drink, LangMaster no-en
drikke,drink, LangMaster no-en
gjelder,applies, LangMaster no-en
krig,war, LangMaster no-en
bo, to live (somewhere) / one's house, LangMaster no-en
blev,became, LangMaster no-en
hen, chicken / can be used as vagina for sexual interactions, LangMaster no-en
søster,sister, LangMaster no-en
jøss,wow, LangMaster no-en
krigen,the war, LangMaster no-en
fall, fall / case, LangMaster no-en
sige,say, LangMaster no-en
fa,few, LangMaster no-en
verre,worse, LangMaster no-en
sende,send, LangMaster no-en
tage,take, LangMaster no-en
syk,sick, LangMaster no-en
ille, bad, LangMaster no-en
skyter,shoots, LangMaster no-en
stikke,sting, LangMaster no-en
skutt,shot, LangMaster no-en
laver, low, LangMaster no-en
tjeneste,service, LangMaster no-en
sak,case, LangMaster no-en
klarte,was able to, LangMaster no-en
vare,goods, LangMaster no-en
dame,lady, LangMaster no-en
behøver,needs, LangMaster no-en
døra,the door, LangMaster no-en
sønnen,the son, LangMaster no-en
farlig,dangerous, LangMaster no-en
forteller,says, LangMaster no-en
broren,the brother, LangMaster no-en
særlig,especially, LangMaster no-en
sist,last, LangMaster no-en
måten,the way, LangMaster no-en
eget,own, LangMaster no-en
kl,at, LangMaster no-en
hvite,white, LangMaster no-en
blive,become, LangMaster no-en
svarte,black, LangMaster no-en
intet,nothing, LangMaster no-en
slipper, to escape / to release, LangMaster no-en
gratulerer,congratulations, LangMaster no-en
rette,correct, LangMaster no-en
avtale,deal, LangMaster no-en
likevel,Nevertheless, LangMaster no-en
væk,away, LangMaster no-en
pris,price, LangMaster no-en
nær,near, LangMaster no-en
forbi,past, LangMaster no-en
følger,following, LangMaster no-en
fengsel,prison, LangMaster no-en
sover,sleeping, LangMaster no-en
onkel,uncle, LangMaster no-en
følg,follow, LangMaster no-en
leter,looking, LangMaster no-en
egne,own, LangMaster no-en
drittsekk,asshole, LangMaster no-en
natten,at night, LangMaster no-en
føles,feels, LangMaster no-en
bord,table, LangMaster no-en
klokken,clocks, LangMaster no-en
sex,sex, LangMaster no-en
største,biggest, LangMaster no-en
flink,good, LangMaster no-en
problemet,the problem, LangMaster no-en
hjertet,the heart, LangMaster no-en
forklare,explain, LangMaster no-en
nogle,some, LangMaster no-en
bekymret,worried, LangMaster no-en
slåss,fight, LangMaster no-en
guds, Gods, LangMaster no-en
slippe,let go, LangMaster no-en
sint,angry, LangMaster no-en
kamp,match, LangMaster no-en
åtte,eight, LangMaster no-en
sekunder,seconds, LangMaster no-en
større,bigger, LangMaster no-en
skriver,write, LangMaster no-en
skjøt,shot, LangMaster no-en
fanden,found, LangMaster no-en
nar,when, LangMaster no-en
ofte,often, LangMaster no-en
hjerte,heart, LangMaster no-en
sto,stood, LangMaster no-en
mike, microphone, LangMaster no-en
tag,tag, LangMaster no-en
passe,fit, LangMaster no-en
sendt,sent, LangMaster no-en
vannet,the water, LangMaster no-en
endelig,finally, LangMaster no-en
skrev,wrote, LangMaster no-en
fare,danger, LangMaster no-en
vant,won, LangMaster no-en
ærlig,honest, LangMaster no-en
spurte,asked, LangMaster no-en
skatt,tax, LangMaster no-en
sjef,boss, LangMaster no-en
enkelt,single, LangMaster no-en
dyr,animals, LangMaster no-en
født,born, LangMaster no-en
glemte,Forgot, LangMaster no-en
skylder,owes, LangMaster no-en
nydelig,gorgeous, LangMaster no-en
spill,game, LangMaster no-en
stikk,stick, LangMaster no-en
steder,places, LangMaster no-en
send, to send, LangMaster no-en
falt,fell, LangMaster no-en
end,end, LangMaster no-en
vinner,winner, LangMaster no-en
ansiktet,the face, LangMaster no-en
døden,death, LangMaster no-en
kutt,cut, LangMaster no-en
slutte,quit, LangMaster no-en
traff,hit, LangMaster no-en
hr,mr / herr, LangMaster no-en
høyt,loud, LangMaster no-en
ordre,order, LangMaster no-en
råd,advice, LangMaster no-en
menneske,human, LangMaster no-en
stolt,proud, LangMaster no-en
reddet,saved, LangMaster no-en
umulig,impossible, LangMaster no-en
tidligere,earlier, LangMaster no-en
sjekk,check, LangMaster no-en
lide,suffer, LangMaster no-en
skade,Damage, LangMaster no-en
verdens,of the world, LangMaster no-en
mister,losing, LangMaster no-en
hvilket,which, LangMaster no-en
meter,meters, LangMaster no-en
kastet,threw, LangMaster no-en
pent,pretty, LangMaster no-en
historien,the story, LangMaster no-en
legger,adds, LangMaster no-en
kvelden,the evening, LangMaster no-en
ni,nine, LangMaster no-en
glemt,forgotten, LangMaster no-en
elske,love, LangMaster no-en
beskjed,message, LangMaster no-en
leder,manager, LangMaster no-en
sjefen,the boss, LangMaster no-en
overalt,everywhere, LangMaster no-en
fik, to cuff / slap, LangMaster no-en
tog,train, LangMaster no-en
tingene,things, LangMaster no-en
glemme,forget, LangMaster no-en
vinne,win, LangMaster no-en
hånden,hand, LangMaster no-en
ordne,fix, LangMaster no-en
verdt,worth, LangMaster no-en
føle,feel, LangMaster no-en
lykkelig,happy, LangMaster no-en
svart,black, LangMaster no-en
fest,feast, LangMaster no-en
lukk,close, LangMaster no-en
flyet,the plane, LangMaster no-en
fortsette,continue, LangMaster no-en
skaffe,provide, LangMaster no-en
lot, to let / to live / to have seemed / appeared, LangMaster no-en
stole,trust, LangMaster no-en
ræva,ass, LangMaster no-en
øl,beer, LangMaster no-en
lys,light, LangMaster no-en
dumme,stupid, LangMaster no-en
hund,dog, LangMaster no-en
søt,sweet, LangMaster no-en
plan,plan, LangMaster no-en
fru,Mrs., LangMaster no-en
