Icelandic, English
mánuði,months
lögreglan,the police
hljómar,sounds
rétta,right
næstu,next
höldum,hold
biðja,pray
spila,play
hringi,call
heyrirðu,do you hear
hitt,the other
fleira,more
gleymdu,forget
augnablik,moment
hætti,quit
opnaðu,open
ungfrú,miss
sýndu,show
dáinn, dead / to die
ný,new
manns,man
missa,loose
gær,yesterday
ber, berry / bare naked / discovered
almáttugur,almighty
hinum, other / the
vatn,water
tveimur,two
hendur,hands
ofan,above
staðinn,instead
öðru,other
þarfnast,need
mörg,many
leggja,lay
þurfti,needed
fólkið,the people
gamli,old
bíl,car
gamall,old
gefið,given
ótrúlegt,unbelievable
ást,love
hringdu,call
einhverju,something
vann,won
hitti,met
trúa,believe
dyrnar,the door
þarftu,you need
greiða,comb
tímann,time
sæti,seats
vitið,know
sástu,you saw
skipta,switch
sleppa,drop
hús,house
verk,works
berjast,fight
bæði,both
stund,while
hjálpaðu,help
húsinu,the house
líst,list
hrædd,scared
gerið,done
börnin,the children
svara,answer
náð,Grace
mark, to mark / sign
bestu,the best
býr,lives
fjölskyldu,family
sérð,see
herbergi,room
fékkstu,you got
verðið,the price
enda, to finish / to end / to keep a promise (until the end)
frændi,uncle
starf,job
nýtt,new
vildir,wanted
manninn,the man
dagur,day
mikil,great
né,nor
augun,the eyes
pá, at that time / then / when / why?
heyri,hear
hrifinn,fond
fyndið,funny
opna,open
allra,everyones
fyrstu,first
seint,late
dóttur,daughter
bað, bath
eini,only
komstu,you came
bera, to carry / to sustain
talaðu,talk
skaltu,please
munu,will
heiminum,the world
drengur,boy
fjandanum,damn it
þínar,yours
hratt,raw
sinnum,times
móður,mother
kaffi,coffee
lifandi,live
þrjár,three
nokkrum,a few
komu,came
gefur,gives
drottinn,the Lord
hugsaðu,think
friði,peace
besti,best
margar,many
mundu,remember
aftan, from behind
kjaftæði,bullshit
stelpa,girl
finnur,finds
yðar,of you
missti,dropped
komi, to come (from v. koma)
alvara,serious
marga,many
vá,Wow
sekúndur,seconds
stattu, to stand / to have an erection (from v. standa)
einum,one
liðið,the team
næ,get
þínir,yours
litlu, small / little
leit, to search (for smth) / to look / to see
meinarðu,you mean
sko,shoe
heimi,world
finnum,find
úr, watch (clock) / from / out of
byssuna,the gun
komnir,have arrived
sannarlega,truly
reynir,tries
megin,side
bak, back
drekka,drink
gengið,Walked
staður,site
mikill,much
elskar,loves
milljónir,millions
sambandi,relationship
hata, to hate
hættið,stop
systir,sister
mikla,much
nokkrar,a few
hönd,hand
fylgja,follow
níu,nine
ástin,love
kynnast,become familiar
hvaðan,where
læra,learn
leik,game
sömu,the same
land, land / countryside
væru,would be
þremur,three
bróður,brother
talaði,spoke
finndu,find
nákvæmlega,exactly
míns,mins
snúa,turn
skyldi,should
leyfi,license
slíkt,such
hverjir,who
reynt,tried
neinn,nobody
aðrir,others
nafni,name
sakna,miss
leikur,game
einhverjum,somebody
tilbúnir,ready
giftast,get married
selja,sell
virkar,works
skaut,shot
ágætt,okay
eigið,own
kvöldið,evening
komumst, to come (from v. koma)
sannleikann,the truth
velkominn,welcome
vin,wine
sín, oneself / his / her / their
manna,man
sitja, to sit / attend / to ride / to be in power (ie. sit in office)
óttast,fear
þrjá,three
auðvelt,easy
bíður,waiting
drepur,kills
konuna,the woman
orðinn,has become
sumir,some
óvart,surprise
þátt,episode
gerðirðu,you did
breyta,change
reddast, to turn out well
dæl, to inject / pump
tóm, vacuum / emptiness / space 
sæm, honor / to be proper or fitting
